organism,mol_type,isolate,isolation_source,host,db_xref,country,date,strain,file,accession,collected_by,note,lat_lon,clone,chromosome,identified_by,lab_host,md5sum,file_name,guid,file_size
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/ID-UW-4547/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-29,SARS-CoV-2/human/USA/ID-UW-4547/2020-MT375429.gb,MT375429.gb,MT375429,,,,,,,,bcc0f4ac51b8356d7daa8c12e6a59dcf,MT375429.gb,dg.63D5/dbbdd52e-41e8-4a47-b01e-b5891471c9b6,65873
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00208/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-27,SARS-CoV-2/human/USA/MA_MGH_00208/2020-MT520183.gb,MT520183.gb,MT520183,Massachusetts General Hospital,,,,,,,713fcfd4995d63a5161e0e83f78afa29,MT520183.gb,dg.63D5/c95bda3f-8f70-4515-8d29-5937290f0cdd,67516
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00628/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-28,SARS-CoV-2/human/USA/MA_MGH_00628/2020-MT520212.gb,MT520212.gb,MT520212,Massachusetts General Hospital,,,,,,,4ee3829c9eedb1f0cef3239bf2846b96,MT520212.gb,dg.63D5/4cc8c09d-b0b5-4564-900b-e481686560d4,67550
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UT-00444/2020,,Homo sapiens,taxon:2697049,USA,2020-03-30,SARS-CoV-2/human/USA/UT-00444/2020-MT444537.gb,MT444537.gb,MT444537,,,,,,,,cc2ca3fc3b4f693a8ac1b8d24fdd3384,MT444537.gb,dg.63D5/adddc7a7-c663-4b80-9587-62dc5c050ef7,66263
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/NY-PV09126/2020,nasal swab,Homo sapiens,taxon:2697049,USA,2020-03-19,SARS-CoV-2/human/USA/NY-PV09126/2020-MT371020.gb,MT371020.gb,MT371020,,passage_history: sequence was derived directly from the original sample material,,,,,,d534b6376b57513107351bdf027cc0e3,MT371020.gb,dg.63D5/822a16f2-710f-4fc1-b260-5c983d7092b3,67121
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MI-MDHHS-SC20382/2020,,Homo sapiens,taxon:2697049,USA,2020-03-24,SARS-CoV-2/human/USA/MI-MDHHS-SC20382/2020-MT506222.gb,MT506222.gb,MT506222,,,,,,,,27e0a30b8a662856009d7dc5841e247c,MT506222.gb,dg.63D5/ebd76582-cdae-4499-8822-3d1c4024153e,66628
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00716/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-08,SARS-CoV-2/human/USA/MA_MGH_00716/2020-MT520352.gb,MT520352.gb,MT520352,Massachusetts General Hospital,,,,,,,91629299252e0ca6c0d32e5a3939d01b,MT520352.gb,dg.63D5/8b1a1d08-73cb-4a45-9e7d-db6ec8537704,67540
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW150/2020,,Homo sapiens,taxon:2697049,USA,2020-03-14,SARS-CoV-2/human/USA/WA-UW150/2020-MT252740.gb,MT252740.gb,MT252740,,,,,,,,0f807b62c8801f5367ebf5b8bd208cd2,MT252740.gb,dg.63D5/67b01712-bea9-465f-b078-118cfe010bef,65817
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/IND/GBRC54/2020,,Homo sapiens,taxon:2697049,India,2020-05-04,SARS-CoV-2/human/IND/GBRC54/2020-MT467262.gb,MT467262.gb,MT467262,,S1205,,,,,,3943190e1528d78e6706ecaf6c7499f8,MT467262.gb,dg.63D5/6c7f3d3a-2408-4563-a36a-0c708e412fe4,66357
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-IX00095/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-28,SARS-CoV-2/human/USA/CA-CZB-IX00095/2020-MT385430.gb,MT385430.gb,MT385430,,,,,,,,a8e84541b504e4da9867b0b5fb7ebd5e,MT385430.gb,dg.63D5/edbb7774-0d87-4f4b-9801-bf32a015c995,65984
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC228/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-20,SARS-CoV-2/human/AUS/VIC228/2020-MT451128.gb,MT451128.gb,MT451128,,,,,,,,855669eab2f15b2b574e88a935023024,MT451128.gb,dg.63D5/288295e1-e071-4154-b25e-3ff0a1b70dd0,66847
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/CHN/235/2020,,Homo sapiens,taxon:2697049,China,2020-01-28,SARS-CoV-2/human/CHN/235/2020-MT135044.gb,MT135044.gb,MT135044,,,39.54 N 116.23 E,,,,,72a21ebc3d3ade38ed397fb7b02cb24f,MT135044.gb,dg.63D5/1e0cf4d3-4281-4fb6-a9a5-1f8bf46f7dee,54741
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/Human/USA/FL-BPHL-0115/2020,,Homo sapiens,taxon:2697049,USA,2020-04-09,SARS-CoV-2/Human/USA/FL-BPHL-0115/2020-MT511678.gb,MT511678.gb,MT511678,,,,,,,,0a3917e9f9a6a2411305a38a33f942a5,MT511678.gb,dg.63D5/27ef40ec-0a2c-4f05-941e-461d5d80a7f4,66383
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/AZ-ASU2922/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-17,SARS-CoV-2/human/USA/AZ-ASU2922/2020-MT339039.gb,MT339039.gb,MT339039,,,,,,,,2fab37c7f865b4d01fa8c5d7076df2eb,MT339039.gb,dg.63D5/43b39ac5-b5cc-42f4-b156-d644731a8a9b,66517
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/NY-CDC-SURV0397NYC/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-17,SARS-CoV-2/human/USA/NY-CDC-SURV0397NYC/2020-MT434785.gb,MT434785.gb,MT434785,,5' sequence is the primer sequence used,,,,,,7f7438ddcc2f1bf928aae63c73c9b204,MT434785.gb,dg.63D5/b2886986-7350-406b-8e25-6b7835c2f906,66306
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW263/2020,,Homo sapiens,taxon:2697049,USA,2020-03-16,SARS-CoV-2/human/USA/WA-UW263/2020-MT259255.gb,MT259255.gb,MT259255,,,,,,,,b58bea7dbc16103e8039068367af463b,MT259255.gb,dg.63D5/6117447c-d69f-4f7a-a0b7-e33106d63d36,55450
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC165/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-18,SARS-CoV-2/human/AUS/VIC165/2020-MT451068.gb,MT451068.gb,MT451068,,,,,,,,583d0a526b0bd4d846222604ff84084f,MT451068.gb,dg.63D5/ff24d546-be5b-4c0f-a1c9-5b73e8483bc2,67254
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UT-01217/2020,,Homo sapiens,taxon:2697049,USA,2020-04-06,SARS-CoV-2/human/USA/UT-01217/2020-MT444604.gb,MT444604.gb,MT444604,,,,,,,,8173c9fcd316682261107031ab1363c2,MT444604.gb,dg.63D5/27d1535d-ba7f-4269-8f34-76b1f2befb10,66280
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UT-00886/2020,,Homo sapiens,taxon:2697049,USA,2020-04-06,SARS-CoV-2/human/USA/UT-00886/2020-MT444595.gb,MT444595.gb,MT444595,,,,,,,,f4f5ce8bc22a4faccef3c45cd96a07f1,MT444595.gb,dg.63D5/a7d2bff0-2963-4089-9984-c19d1660b62b,66196
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/CHN/WHUHnCoV011/2020,,Homo sapiens,taxon:2697049,China,2020-01-22,SARS-CoV-2/human/CHN/WHUHnCoV011/2020-MT079851.gb,MT079851.gb,MT079851,,,,,,,,1a02d28beaf2ff5b31f696d0bd5790d7,MT079851.gb,dg.63D5/e43e7b7d-680b-4cc9-ac99-f8141d6d87a0,66670
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC285/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-22,SARS-CoV-2/human/AUS/VIC285/2020-MT451179.gb,MT451179.gb,MT451179,,,,,,,,c22ab296f806c43d7ecc8c9ee9c76638,MT451179.gb,dg.63D5/91844342-ac1f-4a64-a48a-3e554f888818,66837
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/TX-CDC-3009/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-10,SARS-CoV-2/human/USA/TX-CDC-3009/2020-MT512440.gb,MT512440.gb,MT512440,,,,,,,,5bd63f67ee9f7bb78ab6838d905115d6,MT512440.gb,dg.63D5/1e78773e-fbe7-4651-a979-ee77183c77db,66204
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/IND/GBRC84/2020,,Homo sapiens,taxon:2697049,India,2020-05-05,SARS-CoV-2/human/IND/GBRC84/2020-MT483559.gb,MT483559.gb,MT483559,,,,,,,,94c3e10fcee536d9808a6d7e5d8c8c0c,MT483559.gb,dg.63D5/a6ddaa36-ce54-4a91-b59d-9ab89e50f021,66957
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-IX00027/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-25,SARS-CoV-2/human/USA/CA-CZB-IX00027/2020-MT385492.gb,MT385492.gb,MT385492,,,,,,,,4c5cf6bb3240078e2d36816f574f9a8f,MT385492.gb,dg.63D5/86073328-ec12-49a2-8956-4db1593a0d73,66159
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/AUS/VIC135/2020,,Homo sapiens,taxon:2697049,Australia,2020-03-22,SARS-CoV-2/human/AUS/VIC135/2020-MT451039.gb,MT451039.gb,MT451039,,,,,,,,e306af52a93c569a9a00406414200b83,MT451039.gb,dg.63D5/febfd72b-62ff-4e92-b000-c60914f19365,66850
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/IND/GBRC136b/2020,,Homo sapiens,taxon:2697049,India,2020-05-24,SARS-CoV-2/human/IND/GBRC136b/2020-MT560704.gb,MT560704.gb,MT560704,,,,CAW10b,,,,2a662381f8e44c90fb7beeedc139c376,MT560704.gb,dg.63D5/19569cfb-e1d7-41f7-9f49-561915dc6008,66970
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USAWA-UW463/2020,,Homo sapiens,taxon:2697049,USA,2020-03-29,SARS-CoV-2/human/USAWA-UW463/2020-MT293222.gb,MT293222.gb,MT293222,,,,,,,,663102f0c68d36909af9f008f3d7af6a,MT293222.gb,dg.63D5/7923583b-62be-4088-9c4e-80534c3ee282,65884
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1276/2020,Nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-16,SARS-CoV-2/human/USA/CA-CZB-1276/2020-MT533210.gb,MT533210.gb,MT533210,,,,,,,,c949e0cefa77d26042a502a7a5e19932,MT533210.gb,dg.63D5/9f1f590e-bf9b-488b-a2d9-00f2c0eea11b,66068
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/Human/USA/UT-01997/2020,,Homo sapiens,taxon:2697049,USA,2020-04-15,SARS-CoV-2/Human/USA/UT-01997/2020-MT536971.gb,MT536971.gb,MT536971,,,,,,,,78c7b8d1535fe20701bd985fd7a34efa,MT536971.gb,dg.63D5/e2e2f355-7e94-44dc-99b8-97ba34bbab7c,65980
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00048/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-23,SARS-CoV-2/human/USA/MA_MGH_00048/2020-MT520366.gb,MT520366.gb,MT520366,Massachusetts General Hospital,,,,,,,16d2a60acbee19a6918cd599286374a7,MT520366.gb,dg.63D5/e222a35d-c93c-42ea-8fe0-3b91d3463e29,67555
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1037/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-22,SARS-CoV-2/human/USA/CA-CZB-1037/2020-MT438755.gb,MT438755.gb,MT438755,,,,,,,,c96042d69f284594530cb29c56b9ceb6,MT438755.gb,dg.63D5/56242b38-d5a8-4973-9da6-3e1f9158ebf1,65932
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1872/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-23,SARS-CoV-2/human/USA/WA-UW-1872/2020-MT326049.gb,MT326049.gb,MT326049,,,,,,,,b6d281f1d6518393b4a5bcc48169709b,MT326049.gb,dg.63D5/f52ad772-7c7f-4ca5-9eb4-33d0fc9b76a3,65922
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MI-MDHHS-SC20376/2020,,Homo sapiens,taxon:2697049,USA,2020-03-15,SARS-CoV-2/human/USA/MI-MDHHS-SC20376/2020-MT506216.gb,MT506216.gb,MT506216,,,,,,,,bd5f3afee5843f48bfe3bac68a1209fd,MT506216.gb,dg.63D5/8f01a0ce-5f9d-48dc-8f9c-e2c5be5aa866,66417
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/IND/GBRC34/2020,,Homo sapiens,taxon:2697049,India,2020-04-29,SARS-CoV-2/human/IND/GBRC34/2020-MT467256.gb,MT467256.gb,MT467256,,BJ39,,,,,,91dc308b75672bd93203099f7c6118b2,MT467256.gb,dg.63D5/97134066-c29c-4ed2-92a8-55825be6ebcf,66359
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW110/2020,,Homo sapiens,taxon:2697049,USA,2020-03-11,SARS-CoV-2/human/USA/WA-UW110/2020-MT252774.gb,MT252774.gb,MT252774,,,,,,,,d1968f21f3387ba2ede6a219f96e9d3e,MT252774.gb,dg.63D5/30a25b60-6f7d-4608-a35d-81c15eab58e1,65918
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/NY-PV09030/2020,nasal swab,Homo sapiens,taxon:2697049,USA,2020-03-21,SARS-CoV-2/human/USA/NY-PV09030/2020-MT371014.gb,MT371014.gb,MT371014,,passage_history: sequence was derived directly from the original sample material,,,,,,058b01fff2282f9b1cc2d02328934951,MT371014.gb,dg.63D5/1c3f9379-a67d-4153-a11b-aac956b1b34e,67162
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1087/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-05,SARS-CoV-2/human/USA/CA-CZB-1087/2020-MT449678.gb,MT449678.gb,MT449678,,,,,,,,85736886a2c87b2cfecd3611dda943cf,MT449678.gb,dg.63D5/6125105a-f556-41c7-9000-4024fc468c7e,66351
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1826/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-22,SARS-CoV-2/human/USA/WA-UW-1826/2020-MT326109.gb,MT326109.gb,MT326109,,,,,,,,04490c99095f47450f981c475bd605a5,MT326109.gb,dg.63D5/d5be0321-ba88-4aa4-956c-f08b813f9d7c,66183
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00302/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-01,SARS-CoV-2/human/USA/MA_MGH_00302/2020-MT520226.gb,MT520226.gb,MT520226,Massachusetts General Hospital,,,,,,,91b5aae9b575aba674ab484ac6be8c4e,MT520226.gb,dg.63D5/46078c1d-6e8c-47bd-bff6-27ba1555927d,67781
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USAOR-UW409/2020,,Homo sapiens,taxon:2697049,USA,2020-03-27,SARS-CoV-2/human/USAOR-UW409/2020-MT293174.gb,MT293174.gb,MT293174,,,,,,,,9dc31c53cbaa97869cf92024038160fe,MT293174.gb,dg.63D5/6e51d185-a989-4123-ab6d-709788f1fcce,62762
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/GRC/204_33112/2020,,Homo sapiens,taxon:2697049,Greece,2020-03-12,SARS-CoV-2/human/GRC/204_33112/2020-MT459872.gb,MT459872.gb,MT459872,,,,,,,,f2345d703398ed33023abaf9e6046c1a,MT459872.gb,dg.63D5/c762c627-8e87-445c-b543-b15f8629dc18,66105
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/NY-CDC-SURV0988NYC/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-18,SARS-CoV-2/human/USA/NY-CDC-SURV0988NYC/2020-MT434810.gb,MT434810.gb,MT434810,,5' sequence is the primer sequence used,,,,,,4c1d7ac8a38251a80c17cb71a3a2b5ef,MT434810.gb,dg.63D5/49309204-fc18-4d95-9d5d-df5df8d5fe67,66306
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/VA-DCLS-0021/2020,,Homo sapiens,taxon:2697049,USA,2020-03-01,SARS-CoV-2/human/USA/VA-DCLS-0021/2020-MT322411.gb,MT322411.gb,MT322411,,EPI_ISL_419713,,,,,,39c79a21a5eb6e4370b64b3f72e33c1d,MT322411.gb,dg.63D5/e7bc86b7-d05b-403a-857d-46e3984b5ed4,65981
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00523/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-18,SARS-CoV-2/human/USA/MA_MGH_00523/2020-MT520337.gb,MT520337.gb,MT520337,Massachusetts General Hospital,,,,,,,8ee932b3d5e4bbe044199afadc3e70b5,MT520337.gb,dg.63D5/242e0206-334c-4d1d-b04b-5dc59478682a,67564
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW164/2020,,Homo sapiens,taxon:2697049,USA,2020-03-13,SARS-CoV-2/human/USA/WA-UW164/2020-MT252725.gb,MT252725.gb,MT252725,,,,,,,,59fc8d353cf5957882cb847adbff70b0,MT252725.gb,dg.63D5/dd52e86b-204b-4969-8d2e-b59ef06f30df,65846
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-IX00139/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-08,SARS-CoV-2/human/USA/CA-CZB-IX00139/2020-MT385455.gb,MT385455.gb,MT385455,,,,,,,,c3ceb1fb917afdde5bc1bb966b8b5871,MT385455.gb,dg.63D5/b18ef90d-a12a-44b8-ab65-49f1a5cb2643,65940
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1132/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-30,SARS-CoV-2/human/USA/CA-CZB-1132/2020-MT474136.gb,MT474136.gb,MT474136,,,,,,,,10de8a378ef7c2aa1bde1360d24e278a,MT474136.gb,dg.63D5/ac453c02-23f8-4741-a123-7437eb3308bd,65950
Severe acute respiratory syndrome coronavirus 2,genomic RNA,2019-nCoV/USA-CruiseA-23/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-02-18,2019-nCoV/USA-CruiseA-23/2020-MT184910.gb,MT184910.gb,MT184910,,5' sequence is sequencing primer,,,,,,7ccc2d977e426b671b001827027dd97c,MT184910.gb,dg.63D5/06090f52-f405-472d-be2b-11aa19527f4b,56440
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UT-00511/2020,,Homo sapiens,taxon:2697049,USA,2020-04-03,SARS-CoV-2/human/USA/UT-00511/2020-MT444552.gb,MT444552.gb,MT444552,,,,,,,,d8e00208e7ad65aff4d9a9b0301c075f,MT444552.gb,dg.63D5/5af0bfe8-2da3-4750-878f-c4bee239aec1,66218
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00076/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-25,SARS-CoV-2/human/USA/MA_MGH_00076/2020-MT520277.gb,MT520277.gb,MT520277,Massachusetts General Hospital,,,,,,,12e0aa640a15485ff16bb3a64131543c,MT520277.gb,dg.63D5/01a38ed3-e9e3-4aa8-9bf4-4725dfcb6f13,67592
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/CHN/HZ-185/2020,sputum,Homo sapiens,taxon:2697049,China,2020-01-23,SARS-CoV-2/human/CHN/HZ-185/2020-MT253698.gb,MT253698.gb,MT253698,,,,,,,,7c0913345a045f2b1a680e91c442816b,MT253698.gb,dg.63D5/cbaa72c6-463a-464f-8410-f5c7b5a79500,56130
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-1772/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-03-21,SARS-CoV-2/human/USA/WA-UW-1772/2020-MT326158.gb,MT326158.gb,MT326158,,,,,,,,dd8a84918ad3341cab3ba79bfaeb01f5,MT326158.gb,dg.63D5/f2ea5763-afcd-43f9-9b5a-1dd9c454b881,65787
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/CHN/Wuhan_YB012506/2020,oral swab,Homo sapiens,taxon:2697049,China,2020-01-25,SARS-CoV-2/human/CHN/Wuhan_YB012506/2020-MT259230.gb,MT259230.gb,MT259230,Hubei General Hospital,,,,,,,82e11bc1f70cc620be0209b3277cffdb,MT259230.gb,dg.63D5/274c8ac3-f74a-4491-a26e-535875a4a07b,61793
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1176/2020,Nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-30,SARS-CoV-2/human/USA/CA-CZB-1176/2020-MT533224.gb,MT533224.gb,MT533224,,,,,,,,9cedfcf1f67ab7f0860270ceaabda35d,MT533224.gb,dg.63D5/5e458681-e5cd-426b-9082-dfd13e99736b,66377
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/GRC/213_34051/2020,,Homo sapiens,taxon:2697049,Greece,2020-03-14,SARS-CoV-2/human/GRC/213_34051/2020-MT459881.gb,MT459881.gb,MT459881,,,,,,,,d55c640bf44d60512274d071652cc8af,MT459881.gb,dg.63D5/68a2a8a2-1e1d-489c-8958-fb328b3a1fa6,66100
